Benchmark,Project,File,No. Units,Avg CC,Avg No. Features per unit,Features Covered,JS:Async,JS:DynamicTyping,JS:DomInteraction,JS:NestedFunction,JS:HigherOrder,JS:CommonJS,JS:ES6,JS:Closures,JS:Prototype,JS:PropertyAccess,JS:WeakTyping,JS:VariadicParams,JS:ImplicitGlobals,JS:Undefined,JS:ObjectManipulation
JS-Projects,AdminLTE,JS-Projects\AdminLTE\src\ts\card-widget.ts,1,3.2857142857142856,5.0,0.3333333333333333,0,1,1,1,1,0,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0
JS-Projects,AdminLTE,JS-Projects\AdminLTE\src\ts\direct-chat.ts,1,2.0,3.0,0.2,0,1,0,1,0,0,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0
JS-Projects,AdminLTE,JS-Projects\AdminLTE\src\ts\fullscreen.ts,1,3.0,4.0,0.26666666666666666,0,1,1,1,0,0,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0
JS-Projects,AdminLTE,JS-Projects\AdminLTE\src\ts\layout.ts,1,1.0,4.0,0.26666666666666666,0,1,0,1,1,0,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0
JS-Projects,AdminLTE,JS-Projects\AdminLTE\src\ts\push-menu.ts,1,2.6666666666666665,5.0,0.3333333333333333,0,1,1,1,1,0,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0
JS-Projects,AdminLTE,JS-Projects\AdminLTE\src\ts\treeview.ts,1,3.6666666666666665,4.0,0.26666666666666666,0,1,0,1,1,0,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0
JS-Projects,AdminLTE,JS-Projects\AdminLTE\src\ts\util\index.ts,4,1.0,3.75,0.4,0,2,0,3,3,0,4.0,2,0,0,0.0,0.0,1.0,0.0,0.0
JS-Projects,AdminLTE,JS-Projects\AdminLTE\src\utils\index.js,1,6.0,3.0,0.2,0,1,0,0,0,0,1.0,0,0,0,0.0,0.0,1.0,0.0,0.0
JS-Projects,autoprefixer,JS-Projects\autoprefixer\data\prefixes.js,1,1.0,1.0,0.06666666666666667,0,0,0,0,0,1,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
JS-Projects,autoprefixer,JS-Projects\autoprefixer\lib\at-rule.js,1,3.0,5.0,0.3333333333333333,0,1,0,1,1,1,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0
