Benchmark,Project,File,Unit,LOC,CC,JS:Async,JS:DynamicTyping,JS:DomInteraction,JS:NestedFunction,JS:HigherOrder,JS:CommonJS,JS:ES6,JS:Closures,JS:Prototype,JS:PropertyAccess,JS:WeakTyping,JS:VariadicParams,JS:ImplicitGlobals,JS:Undefined,JS:ObjectManipulation
JS-Projects,AdminLTE,JS-Projects\AdminLTE\src\ts\card-widget.ts,CardWidget,288,3.2857142857142856,0,1,1,1,1,0,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0
JS-Projects,AdminLTE,JS-Projects\AdminLTE\src\ts\direct-chat.ts,DirectChat,40,2.0,0,1,0,1,0,0,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0
JS-Projects,AdminLTE,JS-Projects\AdminLTE\src\ts\fullscreen.ts,FullScreen,106,3.0,0,1,1,1,0,0,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0
JS-Projects,AdminLTE,JS-Projects\AdminLTE\src\ts\layout.ts,Layout,31,1.0,0,1,0,1,1,0,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0
JS-Projects,AdminLTE,JS-Projects\AdminLTE\src\ts\push-menu.ts,PushMenu,144,2.6666666666666665,0,1,1,1,1,0,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0
JS-Projects,AdminLTE,JS-Projects\AdminLTE\src\ts\treeview.ts,Treeview,106,3.6666666666666665,0,1,0,1,1,0,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0
JS-Projects,AdminLTE,JS-Projects\AdminLTE\src\ts\util\index.ts,onDOMContentLoaded,16,1.0,0,1,0,1,1,0,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0
JS-Projects,AdminLTE,JS-Projects\AdminLTE\src\ts\util\index.ts,slideUp,27,1.0,0,0,0,1,1,0,1.0,1,0,0,0.0,0.0,0.0,0.0,0.0
JS-Projects,AdminLTE,JS-Projects\AdminLTE\src\ts\util\index.ts,slideDown,35,1.0,0,1,0,1,1,0,1.0,1,0,0,0.0,0.0,1.0,0.0,0.0
JS-Projects,AdminLTE,JS-Projects\AdminLTE\src\ts\util\index.ts,slideToggle,8,1.0,0,0,0,0,0,0,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0
